Date,Close,High,Low,Open,Volume
6/21/2001,22.91028976,23.05490633,22.02736935,22.26332231,4577293
6/22/2001,22.21765709,22.83417967,21.88275644,22.83417967,6095793
6/25/2001,22.06542397,22.21765176,21.53262667,22.21765176,5969589
6/26/2001,21.50218391,22.05781499,21.27384219,22.05781499,6466802
6/27/2001,21.42606926,21.59351956,20.81715802,21.50218316,8033249
6/28/2001,21.57068634,21.98931209,21.38801208,21.42606977,5153066
6/29/2001,21.98931122,22.06542512,21.12922455,21.57068549,5453725
7/2/2001,21.87514496,22.08826275,21.36518128,21.9893151,4309681
7/3/2001,21.57829475,21.86752785,21.50218086,21.86752785,2848860
7/5/2001,21.45651245,21.82185946,21.3880098,21.57829528,3558439
7/6/2001,21.09116173,21.40322851,20.75626122,21.40322851,4528738
7/9/2001,21.07594109,21.42606557,20.8628219,21.09116357,3619970
7/10/2001,20.62687492,21.15967232,20.55837225,21.07594716,4019361
7/11/2001,21.31189919,21.464127,20.626874,20.626874,8325596
7/12/2001,21.02266121,21.38039695,20.40613883,21.31189429,7298023
7/13/2001,21.45651245,21.54023759,20.95416013,21.02266279,8039027
7/16/2001,21.00744057,21.78380204,20.91610418,21.45651272,5782159
7/17/2001,21.54024124,21.54024124,20.87043853,21.00744386,5351140
7/18/2001,20.55836678,21.12161047,20.47464164,21.12161047,5845717
7/19/2001,20.66493034,21.12161377,20.37569721,20.55836999,6124278
7/20/2001,20.55075645,20.85521204,20.42136239,20.66492803,4467410
7/23/2001,20.45942307,20.7638787,20.36808667,20.55075946,4679878
7/24/2001,19.90378761,20.45942009,19.81245123,20.45942009,5225849
7/25/2001,20.14735603,20.28435989,19.84290041,19.90379035,6284947
7/26/2001,20.47464371,20.62687151,20.0179603,20.14735438,9371820
7/27/2001,20.57359314,20.81715882,20.42136532,20.4746455,4067816
